candidate,mode,level,cases,mae,mred,rmse
l2_tuned_q08_y2_res10_scale14,DIV,2,1000000,0.0030748573070158765,0.0028763563642988797,0.0043585208893923335
l2_tuned_q08_y2_res12_scale14,DIV,2,1000000,0.003077283678723463,0.002877083880570378,0.004360141816811487
l2_tuned_q08_y3,DIV,2,1000000,0.003151807464492199,0.002951134912583327,0.004322693067829731
l2_tuned_q08_y4,DIV,2,1000000,0.002987653141667712,0.0028378397409938123,0.003950717885138329
combined_res8_scale14,MUL,0,1000000,0.06250006285589868,0.031258763971865756,0.08333351445598192
combined_res8_scale14,MUL,1,1000000,0.015625160092694632,0.00759950517911846,0.02083355676345685
combined_res8_scale14,MUL,2,1000000,0.003906723143138691,0.0018849728171049375,0.0052087381300052185
combined_res8_scale14,MUL,3,1000000,0.0009784754935711856,0.0004710692689695105,0.001303206508382636
combined_res8_scale14,DIV,0,1000000,0.04379081301112995,0.04291630504667017,0.0686778756674211
combined_res8_scale14,DIV,1,1000000,0.011993013537763872,0.011153834416725098,0.019635932411196398
combined_res8_scale14,DIV,2,1000000,0.008325049198900623,0.008640322742486712,0.009772945672348479
combined_res8_scale14,DIV,3,1000000,0.00355053685774392,0.0033180988748812918,0.004896001471780192
combined_res10_scale12,MUL,0,1000000,0.06250057195404408,0.03126089318988602,0.08333373142721966
combined_res10_scale12,MUL,1,1000000,0.015626944612399166,0.007600790467860436,0.02083443900119263
combined_res10_scale12,MUL,2,1000000,0.003912791700336955,0.0018878025854068012,0.005212282141487574
combined_res10_scale12,MUL,3,1000000,0.000998664576894492,0.0004802058620724081,0.0013173247167449597
combined_res10_scale12,DIV,0,1000000,0.04364776895083895,0.042764950057201,0.06849083329494197
combined_res10_scale12,DIV,1,1000000,0.011885956570665785,0.011065646872263902,0.019431682284611684
combined_res10_scale12,DIV,2,1000000,0.008104223918823018,0.008426442136001414,0.009532461388567582
