level,dx,dy,w,b,input_bits,objective,coefficients,mae,mred,rmse,max_relative,p99_relative,cost_proxy
0,14,14,22,10,23,mse,526,0.07841115931139998,0.08521599946268202,0.096551710795771,0.5548001304348006,0.5160730622609623,138
0,14,14,22,11,23,mse,1052,0.07841115931139998,0.08521599946268202,0.096551710795771,0.5548001304348006,0.5160730622609623,141
0,14,14,22,11,23,mred,1053,0.07843270996571094,0.08521549452225229,0.09655287110363693,0.5543769366424383,0.5156130556661533,141
0,14,16,14,5,23,mse,15,0.0485873669457792,0.04938002348491671,0.05733699596498857,0.2577523016908393,0.1934713950703919,151
0,14,16,14,6,23,mse,30,0.0485873669457792,0.04938002348491671,0.05733699596498857,0.2577523016908393,0.1934713950703919,162
0,14,16,14,6,23,mred,29,0.04018366615248065,0.04021228181747565,0.05883008187567477,0.28249389163447797,0.22035568190137883,162
0,14,16,14,7,23,mse,59,0.04249339850473889,0.04304286830699494,0.05515981496958856,0.2701230966626586,0.20691353848588537,173
0,14,16,14,7,23,mred,58,0.04018366615248065,0.04021228181747565,0.05883008187567477,0.28249389163447797,0.22035568190137883,173
0,14,16,14,8,23,mse,118,0.04249339850473889,0.04304286830699494,0.05515981496958856,0.2701230966626586,0.20691353848588537,184
0,14,16,14,8,23,mred,116,0.04018366615248065,0.04021228181747565,0.05883008187567477,0.28249389163447797,0.22035568190137883,184
0,14,16,14,9,23,mse,237,0.04370144673711941,0.04434017725671857,0.055151177331984255,0.2670303979197038,0.203553002632012,195
0,14,16,14,9,23,mred,231,0.040274139184679134,0.04015135905973771,0.060574023971773576,0.28558659037743284,0.2237162177552522,195
0,14,16,14,10,23,mse,473,0.043072996844210246,0.043667912521276414,0.055108499787103,0.2685767472911812,0.2052332705589487,206
0,14,16,14,10,23,mred,463,0.04018468353762632,0.040139034110233,0.05966501010901883,0.2840402410059554,0.22203594982831554,206
0,14,16,14,11,23,mse,946,0.043072996844210246,0.043667912521276414,0.055108499787103,0.2685767472911812,0.2052332705589487,217
0,14,16,14,11,23,mred,925,0.040216014185713016,0.04013227887457661,0.060110459982806154,0.2848134156916941,0.22287608379178386,217
0,14,16,16,5,23,mse,15,0.04801046680187028,0.048832508106449686,0.05696113295762559,0.2613380393638304,0.19676342276717781,141
0,14,16,16,6,23,mse,30,0.04801046680187028,0.048832508106449686,0.05696113295762559,0.2613380393638304,0.19676342276717781,150
0,14,16,16,6,23,mred,29,0.04018734045088686,0.04024646285318591,0.05925760093191406,0.2859601047183694,0.22353797534160522,150
0,14,16,16,7,23,mse,59,0.04218091240564893,0.04275886430685073,0.05520109195007565,0.2736490720410999,0.21015069905439152,159
0,14,16,16,7,23,mred,58,0.04018734045088686,0.04024646285318591,0.05925760093191406,0.2859601047183694,0.22353797534160522,159
0,14,16,16,8,23,mse,118,0.04218091240564893,0.04275886430685073,0.05520109195007565,0.2736490720410999,0.21015069905439152,168
0,14,16,16,8,23,mred,116,0.04018734045088686,0.04024646285318591,0.05925760093191406,0.2859601047183694,0.22353797534160522,168
0,14,16,16,9,23,mse,237,0.043317031016024514,0.04398186255704463,0.05508609174195106,0.2705713138717825,0.20680387998258812,177
0,14,16,16,9,23,mred,232,0.04018734045088686,0.04024646285318591,0.05925760093191406,0.2859601047183694,0.22353797534160522,177
0,14,16,16,10,23,mse,474,0.043317031016024514,0.04398186255704463,0.05508609174195106,0.2705713138717825,0.20680387998258812,186
0,14,16,16,10,23,mred,463,0.0402407639515054,0.04022612438884446,0.06013341659265345,0.2874989838030281,0.22521138487750694,186
