top,dataset,count,mae,mred,rmse,max_relative,p99_relative
stdm_tune_13,independent_200k,200000,0.0023456186994689093,0.0022742196478540673,0.0030370105886070465,0.012254925713961725,0.007195188413593792
stdm_tune_00_narrow,random_200k,200000,0.004796667012809207,0.004534240033848713,0.006485953566426254,0.035739547376864904,0.016232399132885572
stdm_tune_00_narrow,grid_low,65536,0.004673419374400997,0.004404188343138591,0.006355725942891653,0.032516891891891934,0.016004665310516402
stdm_tune_00_narrow,grid_high,65536,0.0047651947151656875,0.004512713631039239,0.00642461483608609,0.03318808055664423,0.016018240039779606
stdm_tune_00_narrow,signed,2000,227389.78667415472,0.0045220595888030195,2974766.235953166,0.02524381408454433,0.01606657881519119
stdm_tune_00_narrow,cell_boundaries,2304,0.006322555944300073,0.005825745888246174,0.008819498972221746,0.02965656377456703,0.02044647137576848
stdm_tune_00_narrow,diagonal,8414,0.0027616776053118316,0.0027616776053118316,0.00311611445320938,0.00439453125,0.00439453125
stdm_tune_00_narrow,independent_200k,200000,0.004801133314710549,0.004529140030184109,0.006497967979571667,0.03479131720296139,0.016285866124265035
stdm_tune_02_narrow,random_200k,200000,0.0035777509999450306,0.0033505856601561065,0.0049482711604797065,0.02911428868703509,0.013344985766293043
stdm_tune_02_narrow,grid_low,65536,0.003425214025111974,0.00320356845207996,0.004799549928664421,0.026482370576969897,0.013113157541159864
stdm_tune_02_narrow,grid_high,65536,0.0035071328813994595,0.00327759366020076,0.004820998785262519,0.027206162324635637,0.01303808790269833
stdm_tune_02_narrow,signed,2000,185302.0423729514,0.003348543416663859,2038628.597148754,0.019024829034447577,0.013342349786909872
stdm_tune_02_narrow,cell_boundaries,2304,0.004136487289533586,0.0038170229987898874,0.005952770081593877,0.023657133451188417,0.01498431591807172
stdm_tune_02_narrow,diagonal,8414,0.0027616776053118316,0.0027616776053118316,0.00311611445320938,0.00439453125,0.00439453125
stdm_tune_02_narrow,independent_200k,200000,0.0035774381118673813,0.003347633870796877,0.004943615933859547,0.02861680474687479,0.013254553813955804
stdm_tune_04_narrow,random_200k,200000,0.003232568502677899,0.0030331292000319553,0.004577021675752589,0.02678587795561353,0.013289712489968152
stdm_tune_04_narrow,grid_low,65536,0.003076079793355947,0.0028763840356328873,0.0044644139865818305,0.023466050624847374,0.013005640431836035
stdm_tune_04_narrow,grid_high,65536,0.0031392847171031746,0.002941614351007293,0.004401133165748303,0.024216447275670266,0.012825611030245819
stdm_tune_04_narrow,signed,2000,191541.80347320795,0.003080597421746024,2501426.0082370252,0.02005992793908412,0.013080278027908633
stdm_tune_04_narrow,cell_boundaries,2304,0.003853860992858341,0.003563330811905278,0.0057047178219258275,0.023657133451188417,0.016027735846369903
stdm_tune_04_narrow,diagonal,8414,0.0027616776053118316,0.0027616776053118316,0.00311611445320938,0.00439453125,0.00439453125
stdm_tune_04_narrow,independent_200k,200000,0.0032307468368015066,0.0030293223318214853,0.004575565019873478,0.026490524463308716,0.013143666533282089
stdm_tune_05_narrow,random_200k,200000,0.003143305955365865,0.0031394912333956443,0.004003524049677696,0.0162204313196531,0.009941943107159254
stdm_tune_05_narrow,grid_low,65536,0.0029018228336497504,0.002892885013365793,0.0036748975058497465,0.014194222383720981,0.008914377432330372
stdm_tune_05_narrow,grid_high,65536,0.0031332294791936977,0.003153802668480584,0.003995261441859744,0.014912351479199792,0.009913349898279734
stdm_tune_05_narrow,signed,2000,136442.22361743893,0.0032019853131684587,1483744.046653835,0.013241160063856451,0.009869945654656327
stdm_tune_05_narrow,cell_boundaries,2304,0.003138733972223793,0.00304161819411727,0.004297788866528564,0.012529183272272279,0.01080743712265215
stdm_tune_05_narrow,diagonal,8414,0.0010220015561861185,0.0010220015561861185,0.0015964462060949177,0.00390625,0.00390625
stdm_tune_05_narrow,independent_200k,200000,0.003144307926747496,0.003137147606856185,0.004005687226337862,0.017138063036555864,0.010010702417461744
stdm_tune_06_narrow,random_200k,200000,0.04225530269301196,0.04265015139877548,0.056459673068841754,0.31238485450405257,0.2090140699571533
