top,family,level,drop,bits,shell,rounding,dataset,cases,rmse,mred,mean_error,max_relative,mae
fig8_pace_l3_d12,pace,3,12,11,common,author,boundaries,1733,0.006514289357766331,0.0009472003363417774,-6.683261748968918e-05,0.24609367572702467,0.0007281593187935969
fig8_pace_l3_d14,pace,3,14,9,common,author,boundaries,1733,0.006769815897551679,0.0017138760143218885,-0.0008636354882340635,0.24609367572702467,0.0014994523148903036
fig8_pace_l3_d15,pace,3,15,8,common,author,boundaries,1733,0.007434229963317014,0.002836954290311021,-0.0019483918716731838,0.24609367572702467,0.002628386863711441
fig8_pace_l3_d16,pace,3,16,7,common,author,boundaries,1733,0.009519124045217913,0.005063845440630025,-0.004102126363883221,0.24218742595985532,0.0048702503746000094
fig8_pace_l3_d17,pace,3,17,6,common,author,boundaries,1733,0.01397932014493508,0.00870141284275423,-0.008364514563537002,0.04687494318931956,0.008794776511819624
fig8_pace_l4_d0,pace,4,0,23,common,author,boundaries,1733,0.006022335922496699,0.0007043211034903889,0.00022597789989129544,0.24609367572702467,0.0004473922132036995
fig8_pace_l4_d4,pace,4,4,19,common,author,boundaries,1733,0.006022376554423254,0.000704536969586812,0.00022534006484377112,0.24609367572702467,0.00044761523163073115
fig8_pace_l4_d8,pace,4,8,15,common,author,boundaries,1733,0.0060231044736904936,0.0007121021267400835,0.00021183178818778484,0.24609367572702467,0.00045529660028691805
fig8_pace_l4_d12,pace,4,12,11,common,author,boundaries,1733,0.006054405694025321,0.0009873443075003679,-0.00011163164735120101,0.24609367572702467,0.0007323663828028861
fig8_pace_l4_d14,pace,4,14,9,common,author,boundaries,1733,0.006428383860733741,0.002130167917515827,-0.0012845773159894005,0.24609367572702467,0.0018798109884824706
fig8_pace_l4_d15,pace,4,15,8,common,author,boundaries,1733,0.0074874052981766005,0.003687292568817667,-0.0027970376448988024,0.24609367572702467,0.0034421470374705844
fig8_pace_l4_d16,pace,4,16,7,common,author,boundaries,1733,0.01066671481256361,0.006684151091621879,-0.005713764419278488,0.24218742595985532,0.006453540583125127
fig8_dw_d0,dw,,0,23,native_dw,RTZ,boundaries,1733,5.319051871835303e-08,4.3162394971014536e-08,-4.318824826002409e-08,1.192092611290769e-07,4.318824826002409e-08
fig8_dw_d4,dw,,4,19,native_dw,RTZ,boundaries,1733,9.250329614976418e-07,7.352846695881032e-07,-6.603869502186996e-07,2.562110395496352e-06,7.370574996618541e-07
fig8_dw_d8,dw,,8,15,native_dw,RTZ,boundaries,1733,1.5227802872685552e-05,1.1468859836283348e-05,-1.0384783283291315e-05,3.99998299734494e-05,1.1504761262879786e-05
fig8_dw_d12,dw,,12,11,native_dw,RTZ,boundaries,1733,0.0002489694066861336,0.00017991717843382417,-0.00016446069199921025,0.0006849375124048513,0.0001805748338682228
fig8_dw_d14,dw,,14,9,native_dw,RTZ,boundaries,1733,0.0009863977361127,0.0007029439754893987,-0.0006461207017366602,0.0025782823798839046,0.0007052862632948301
fig8_dw_d15,dw,,15,8,native_dw,RTZ,boundaries,1733,0.0019877287969407775,0.0014162664729893276,-0.0012868313552277144,0.0051737405308340785,0.0014209356300933177
